"","Easting","Northing","Purprice","BldIntWr","BldPostW","Bld60s","Bld70s","Bld80s","TypDetch","TypSemiD","TypFlat","GarSingl","GarDoubl","Tenfree","CenHeat","BathTwo","BedTwo","BedThree","BedFour","BedFive","NewPropD","FlorArea","NoCarHh","CarspP","ProfPct","UnskPct","RetiPct","Saleunem","Unemploy","PopnDnsy"
"239",535100,183800,35000,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,44.582319395,29.5082,46.1539,42.8571,0,42.8571,5.9259,16.47452,5.88235
"251",536300,190400,65000,0,0,0,0,1,1,0,0,1,0,1,1,0,0,1,0,0,1,92,38.7755,41.9525,0,0,300,7.438,70.83035,5.00677
"256",534300,183700,69000,0,0,1,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,87,11.6203,29.9107,35.1882,7.1429,0,9.8039,1.78664,14.7541
"262",530700,187800,67000,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,1,0,0,103.0966136,27.5281,38.6965,10,0,30,12.1212,6.99939,8.2153
"266",544600,186500,48000,0,1,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,79,72.807,13.3333,0,0,16.6667,34.1463,72.32079,7.48988
"270",527100,189600,89000,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,51.08390764,13.8249,45.1557,0,0,81.8182,4.8507,10.89283,8.94942
"271",527000,183100,30000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,95.666227035,77.0642,16.6667,0,14.2857,28.5714,25.5556,58.3914,10.36468
"274",544600,186500,89000,0,0,1,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,133.74695819,9.8214,63.1783,26.6667,0,33.3333,2.952,28.30418,18.04511
"276",525500,196500,49000,0,0,0,0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,103,31.9018,30.2174,8.3333,0,25,11.0169,57.67515,6.5
"279",530000,188500,79000,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,135.97607416,0,58.5366,0,0,0,5,2.06871,4.04531
"281",518600,192000,70000,0,0,0,0,1,0,1,0,0,0,1,1,1,0,1,0,0,0,125.3877733,21.8045,41.6168,33.3333,16.6667,66.6667,6.4748,102.1807,8.14332
"291",525000,181000,45000,0,0,0,1,0,0,0,1,1,0,1,1,0,1,0,0,0,0,70.77443204,32.5893,35.4098,15.7895,0,5.2632,11.6208,34.50554,3.82609
"307",509800,180600,115000,1,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,114.05643379,10.8843,54.1237,7.6923,15.3846,15.3846,2.0725,36.41711,8.70536
"323",531900,168600,110000,0,0,0,0,1,1,0,0,1,0,1,1,0,0,1,0,0,1,93.808630394,18.6869,43.5743,0,8.3333,58.3333,3.8911,92.55961,12.64368
"341",554100,187000,86000,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,135,30.0752,33.4286,0,0,57.1429,2.3529,5.46991,10.15228
"345",541200,183500,69000,0,0,1,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,95.480467371,5.7143,56.8792,11.1111,0,11.1111,4.4643,6.07258,9.88201
"346",538300,184100,65000,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,106.99756655,19.1781,43.1779,7.6923,0,38.4615,6.2963,3.75347,4.6729
"347",535200,173200,100000,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,77.090260621,20.4255,49.74,0,6.25,25,7.6677,69.7663,4.69012
"348",524900,178800,43000,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,92.879832073,29.8077,51.6355,20,0,90,3.6697,51.28917,13.0719
"351",524400,178100,95000,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,1,0,0,161.61090781,32.7161,36.409,0,10,30,7.8818,26.08655,5.63107
"356",513900,188800,61000,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,100,40.7895,35.4331,0,0,100,7.2398,22.31902,2.36559
"357",539400,186000,69000,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,105.88300856,36.2245,44.4717,7.6923,7.6923,30.7692,5.6122,25.81629,11.94969
"359",525900,190400,37500,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,133.74695819,36.2385,36.255,9.0909,0,63.6364,5.9289,1.54811,4.6729
"364",538800,187700,32000,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,116,38.0091,36.6525,10,0,40,11.4407,69.86364,13.24503
"367",526100,170300,110000,1,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,113.77779429,19.0661,42.5,4.7619,0,9.5238,5.0971,38.1141,10.61728
"368",525700,165200,162500,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,160.58922965,47.6191,36.4583,0,0,0,6.9767,686.9893,22.29299
"370",513900,188400,49000,0,0,0,1,0,0,1,0,1,0,1,1,0,1,0,0,0,0,68.731075734,19.5652,48.5323,30,0,60,5.6911,7.88168,6.69078
"372",544100,184900,127000,0,1,0,0,0,1,0,0,1,0,1,1,1,0,1,0,0,0,139.31974811,15.1515,40.9692,11.1111,0,16.6667,3.1332,140.5168,3.79747
"376",515100,190400,100000,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,82.012891721,4.2056,66.1539,16.6667,5.5556,5.5556,2.5078,45.5163,6.86106
"381",507600,181900,34500,0,0,0,1,0,0,1,0,1,0,1,1,0,0,1,0,0,0,95,10.7317,46.0237,0,6.6667,20,4.4304,6.31487,6.28019
"382",527400,181100,38000,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,138.39094979,15.0628,45.4948,15,10,15,2.9557,0,0
"385",514500,188300,65500,0,1,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,86,16.2393,41.6149,5.5556,0,16.6667,6.686,15.1742,3.41556
"386",515900,185900,101000,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,101,12.1387,52.2782,27.2727,0,45.4545,3.4483,28.31729,15.68123
"392",526800,170500,65000,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,91.022235432,24.7059,32.7809,0,16.6667,25,8.3333,74.63479,10.04098
"394",526800,170500,50500,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,44,37.5635,34.1826,9.0909,18.1818,63.6364,7.4627,73.99532,7.02403
"399",538800,185500,55000,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,115,12.037,48.3465,14.2857,0,35.7143,4.8232,92.81289,9.07534
"404",539000,174800,65000,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,77,27.9412,39.7683,8.3333,8.3333,16.6667,8.0769,38.35776,20.87156
"408",548500,186700,140500,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,1,0,210,22.093,30.4425,0,9.0909,45.4545,8.9041,56.64907,13.09524
"414",538800,169400,71000,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,88,11.6667,57.2549,19.2308,0,3.8462,5.8824,40.06618,8.41487
"416",526200,190800,51250,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,111.45579849,17.1674,49.8214,21.4286,7.1429,64.2857,4.943,58.44234,9.40695
"419",523300,189300,55000,0,0,0,1,0,0,1,0,1,0,1,1,0,0,1,0,0,0,92.879832073,14.4385,45.2,0,12.5,12.5,3.3898,23.22887,8.11321
"423",516300,171200,67000,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,77.554659781,29.6748,46.8193,25,0,450,18.4615,21.51206,4.22222
"424",534800,193500,48000,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,65.944680772,11.7073,49.5622,7.6923,0,61.5385,6.9182,58.87811,7.34767
"438",540500,183100,62500,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,74.303865659,12.1359,47.2693,7.6923,0,46.1539,4.7809,33.36921,11.29944
"439",522100,188000,120000,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,169.50569353,16.6667,54.717,0,0,20,5.4348,157.5135,6.75991
"451",533200,193200,29950,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,83.220329538,47.8528,32.6154,0,0,57.1429,8.9172,109.4575,21.41372
"468",509900,179100,65000,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,106,38.5366,34.7253,0,13.3333,33.3333,8.9494,81.73859,14.12556
"470",530300,177300,85500,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,98.917021158,44.6701,30.8036,0,9.0909,36.3636,6.8807,57.84087,7.51634
"471",512100,189800,98000,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,116.09979009,51.1628,32.4675,0,0,75,17.0732,55.26852,7.14286
"472",518400,183700,45950,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,91.022235432,17.4603,52.9412,10,0,10,7.1895,62.56078,6.41283
"477",525300,172500,100000,0,0,1,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,120.92954136,11.7647,57.7287,0,0,30,6.25,7.1874,8.47914
"490",544900,167700,56000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,137.46215147,37.788,32.5044,6.25,12.5,31.25,10.4895,6.84044,4.91803
"504",515000,190000,33000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.23247822,32.4873,31.7343,0,0,33.3333,10.8108,24.36935,8.20244
"506",531300,168800,90000,0,1,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,145.82133636,11.4583,51.1828,7.1429,0,35.7143,8.9474,26.3046,3.08219
"508",507100,178700,29995,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,78.483458102,17.5325,42.8161,9.0909,0,9.0909,11.9342,99.45152,17.63566
"510",537300,189400,84500,0,0,1,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,90,33.5329,39.2045,0,0,114.2857,5.2288,108.7809,9.73451
"512",509100,174000,49000,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,55,37.2781,30.2211,0,0,44.4444,12.6437,3.52593,3.19829
"516",545100,186000,67000,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,94.644548883,24.0343,43.6644,5.5556,0,27.7778,6.2112,46.47895,6.04534
"518",525300,192100,29950,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,41.795924433,3.6036,62.1236,6.6667,0,26.6667,6.2857,43.7588,3.74016
"523",526300,179000,63000,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,65,6.25,51.6408,7.6923,0,38.4615,3.2051,43.614,7.01107
"524",513100,184300,29995,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,60,10,61.9355,50,0,100,4.7619,0.6964,7.0922
"526",534800,194400,46500,0,0,0,1,0,0,0,1,1,0,1,1,0,0,1,0,0,0,81,53.5545,25.37,11.1111,11.1111,100,10.3774,0.88716,11.07011
"529",525900,174400,55000,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,59,32.9412,38.3033,0,0,44.4444,11.6667,33.19484,8.33333
"531",514500,171400,65950,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0,0,0,0,70.217153047,48.7923,25.3036,0,0,125,9.5477,1.90218,4.16667
"532",517100,170100,80000,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,1,0,0,137,38.8889,30.7692,0,20,0,9.589,17.80324,10.50955
"534",532200,175700,34000,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,78.019058942,53.5484,23.8356,0,10,40,21.6931,93.78258,5.22152
"536",534700,194700,40000,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,78.297698438,23.9796,41.0681,0,12.5,18.75,7.7419,82.58693,7.9922
"541",528200,173400,72000,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,63,21.6216,41.5987,26.6667,0,33.3333,5.3763,86.54358,10.98039
"543",517100,170100,85000,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,108,28.9618,37.8661,0,0,54.5455,7.3171,102.63,6.14035
"544",532100,176000,50000,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,68.731075734,51.9802,24.7706,0,18.1818,45.4545,16.0551,0.5164,8.93855
"549",532100,192000,63000,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,101.51765646,58.6873,21.7315,0,0,30.7692,18.6508,93.02776,6.50264
"550",538100,188700,43000,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,78.111938774,8.3333,64.5051,0,0,12.5,8.642,26.66951,10.48035
"561",534800,194400,20500,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,37.151932829,29.0124,30.6796,0,7.6923,7.6923,15.8672,35.63292,15.53398
"565",552900,182500,48500,0,0,0,1,0,0,1,0,1,0,1,1,0,1,0,0,0,0,76,13.9535,45.7505,0,10.5263,5.2632,6.9565,54.02839,7.86749
"567",518900,185800,67000,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,91.486634592,20.5357,45.2381,7.6923,15.3846,38.4615,8.2822,18.94902,15.09901
"568",534900,193700,44750,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,91.579514424,11.3208,52.4655,11.1111,0,11.1111,4.9342,38.22058,7.55467
"579",535000,195600,86000,0,0,0,0,1,1,0,0,1,0,1,1,0,1,0,0,0,0,74,49.359,28.6567,20,0,40,9.6154,181.2509,11.64596
"581",538200,186900,52500,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,95,20.2703,44.5351,15.3846,0,61.5385,5.4054,51.57578,7.33945
"587",534600,191700,82500,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,1,0,0,127.9884086,58.2915,21.7582,0,15.3846,38.4615,19.4215,45.83456,5.69106
"593",549900,183500,68000,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,58.049895046,39.7351,39.528,0,0,140,7.5,36.5411,7.05244
"594",533000,189100,87500,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,111.45579849,11.9048,56.6861,14.2857,14.2857,28.5714,6.25,36.18583,3.81679
"601",510600,172000,53500,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,41.795924433,42.8571,34.6535,0,0,28.5714,12.069,12.9851,17.47126
"614",514500,190400,100000,0,0,0,0,1,1,0,0,1,0,1,1,1,0,0,1,0,1,134.58287667,28.1407,42.0202,21.4286,0,21.4286,7.6923,2.17349,7.78985
"617",552400,185700,45000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.1614623,24.3094,38.9113,18.1818,0,18.1818,10.9804,69.9585,6.94981
"619",512500,177500,100000,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,69,56.9343,15.8292,0,16.6667,33.3333,21.978,203.3051,12
"640",518000,184500,67000,0,0,0,0,1,1,0,0,1,0,1,1,0,0,1,0,0,0,106.99756655,10.3275,21.1921,44.5844,25,0,7.7586,2.0242,7.03125
"644",515300,189400,25000,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,32.507941226,25.6637,40.694,0,0,60,10.7595,3.712,6.73653
"656",513300,182200,57500,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,44.117920235,38.7387,34.6077,0,6.6667,46.6667,6.8273,65.60614,11.875
"657",519900,191500,41500,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,87.307042149,18.0723,34.087,6.25,0,0,9.0592,26.16305,76.79083
"667",542400,178500,42000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,30.185945424,14.9321,61.4737,42.8571,0,142.8571,4.3478,43.80714,22.19828
"668",505300,181500,75500,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,67.802277413,40.4494,40.4891,11.1111,0,77.7778,7.4074,139.1082,9.03361
"673",515600,173100,72000,0,0,1,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,91.486634592,66.6667,22.3684,0,0,130,19.0141,75.85161,6.58979
"677",521200,183700,71000,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,84.520647187,57.5893,16,0,8.3333,33.3333,26.9076,49.37761,4.89362
"681",514600,171800,37750,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,60.650530344,51.7442,19.171,0,0,11.1111,29.5238,34.42166,11.33005
"683",509300,192000,29995,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,77,10.3734,56.6122,20,0,40,4.4728,51.68338,7.9661
"690",511400,180700,50500,0,0,0,1,0,0,0,1,1,0,1,1,0,0,1,0,0,0,81,32.4022,51.0274,0,0,112.5,10.8696,1.73051,12.12121
"694",521800,186700,95000,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,220.12520201,12,53.8328,12.5,0,37.5,1.3793,10.72577,5.54156
"695",534600,169000,42500,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,104.95421024,16.0714,42.6731,6.25,12.5,31.25,8.4302,91.24526,6.37982
"696",535300,169400,74000,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,117,49.0654,22.8571,0,0,66.6667,11.8852,51.94617,7.15631
"700",508100,185700,137000,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,120.7437817,44.1176,24.5421,0,18.1818,36.3636,12.2363,18.53402,7.22348
"702",532500,164500,69000,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,78,11.1675,47.7273,11.7647,0,11.7647,2.649,4.26949,17.00288
"706",531300,192500,75000,0,1,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,94,16.7421,53.3437,21.4286,0,35.7143,4.7945,104.6143,11.11111
"707",530900,172200,215000,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,1,0,0,230,16.7598,44.2353,0,7.1429,14.2857,8.9965,15.28267,28.35821
"709",516500,175600,50000,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,78.483458102,23.5294,42.7466,20,10,60,4.8689,80.78926,6.64452
"710",537100,190300,61155,0,0,0,0,1,1,0,0,1,0,1,1,0,1,0,0,0,0,60.836290008,31.4607,31.8284,0,0,60,3.7344,31.61653,9.36556
"713",510800,177000,80000,0,0,0,1,0,1,0,0,1,0,1,1,0,0,1,0,0,0,123.0657775,18.617,48.203,11.7647,0,17.6471,4.797,61.47388,11.9349
"714",517600,174300,60000,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,49.226310999,2.454,53.1532,14.2857,0,0,3.0303,26.62803,4.71125
"715",515600,180100,128000,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,102.16781528,42.5837,25.6098,0,28.5714,35.7143,16.6008,94.31056,12.41685
"716",525800,182300,65000,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,72,30.1205,40.9207,0,0,15.3846,9.7561,162.3418,8.92857
"721",531100,169300,42000,0,0,0,1,0,0,0,1,1,0,1,1,0,0,1,0,0,0,109.59820185,52.6066,24.0076,0,20,60,14.5923,2.72957,10.699
"725",533900,166800,99950,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,97.523823677,84.8214,8.5511,0,12.5,50,45.7516,72.34293,8.71795
"726",523700,189900,60825,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,63,16.6667,63.1579,0,0,0,0,10.81955,11.07325
"727",531100,169300,56500,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,58,40.1786,37.9157,0,0,110,6.3348,64.92351,8.11594
"736",539800,185900,155000,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,166,9,61.71,0,0,50,3.2258,3.74975,7.36196
"744",517400,187000,87500,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,150.0009288,5.7143,48.7395,15.7895,0,5.2632,6.7164,11.06588,11
"746",511400,179000,44950,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,69.938513551,41.4938,29.9669,16.6667,5.5556,33.3333,8.9965,59.37245,6.14203
"749",536100,172900,68000,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,1,0,0,110,34.6369,32.3591,7.1429,0,14.2857,12.3016,77.12943,5.88235
"754",545000,173000,67000,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,55.170620252,9.5238,50.2857,13.6364,0,4.5455,3.1332,4.41342,1.65632
"757",520600,179200,37000,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,99.195660654,11.7073,53.6083,25,0,50,6.4639,50.57206,14.89971
"759",545300,187300,17000,0,0,0,1,0,0,1,0,1,0,0,1,1,0,1,0,0,0,99,51.7241,39.0805,0,0,28.5714,12.4183,136.2692,24.11347
"763",552400,185900,53500,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,99,46.9697,39.6226,100,0,100,9.7222,27.06697,12
"771",520800,175400,110000,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,208.7938625,13.9831,46.6459,17.6471,0,29.4118,5.8651,54.50311,10.04862
"773",532400,168800,65000,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,62,23.3607,43.3757,0,13.3333,33.3333,7.7181,80.78066,8.46561
"774",528100,168900,28500,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,105,40.7767,30.4432,0,10,60,8.7137,13.19609,5.21583
"775",518300,190000,87000,0,0,1,0,0,0,1,0,1,0,1,1,1,0,0,1,0,0,150.83684729,21.8487,44.8052,0,0,42.8571,4.8276,4.53157,17.94311
"779",519200,182800,35000,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,41.795924433,20.8889,56.3265,21.4286,14.2857,57.1429,3.0418,45.06396,10.0939
"781",537100,174500,125000,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,1,0,178.32927758,37.4359,40.3141,0,0,100,4.8913,60.24692,7.29927
"784",522400,165300,45000,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,100.31021864,36.4373,50.7592,0,0,100,4.8309,26.40022,7.26257
"787",542400,172000,85000,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,86,65.2381,15.2753,0,0,87.5,20.4878,34.33285,5.73477
"788",525000,177800,60000,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,104.95421024,36.4865,33.2487,0,8.3333,16.6667,14.1177,39.24192,12.40741
"790",507400,178900,65000,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,99.381420318,40.2439,23.4962,10,0,30,14.5038,183.3637,4.41176
"796",517500,183100,253000,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,192,10.9948,49.2663,0,8.3333,41.6667,3.1746,31.50032,7.16332
"797",531400,178000,63000,0,0,0,1,0,0,1,0,1,0,1,1,0,0,1,0,0,0,95,34,29.5608,8.3333,16.6667,50,18.8889,56.30813,4.84262
"803",519500,188400,36000,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,50.15510932,10.3261,52.5735,20,0,20,1.9011,98.83508,11.96581
"805",554200,185700,137000,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,157.89571452,41.6667,29.7131,12.5,25,125,11.1628,64.31612,10.69767
"808",532800,169000,62950,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,1,0,0,120,11.215,63.4191,6.6667,13.3333,40,3.1142,53.12723,3.09091
"813",542800,184300,160000,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,156.03811788,4.9296,60.5978,10,0,20,3.681,8.49333,5.76923
"814",524900,174500,40000,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,1,73.375067338,14.2132,49.5256,0,0,18.75,4.886,56.55527,12.12938
"816",527000,168600,150000,0,1,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,196.44084483,52.2124,32.9545,25,0,37.5,6.6038,101.162,11.5304
"818",511000,172000,39500,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,51,25.3968,43.4034,25,0,41.6667,5.8824,103.0621,3.72549
"819",527000,168600,44500,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,119.81498337,34.6667,39.3651,20,0,20,12.4378,35.52716,9.45017
"832",541700,181500,45250,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,87.771441309,23.0367,48.3951,0,0,26.6667,5.5085,67.71272,4.41989
"837",524300,168600,200000,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,179.44383557,15.625,52.8662,33.3333,0,66.6667,3.6585,22.1832,70.98765
"839",524100,170300,90000,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,132,0.9434,53.4328,20,0,0,3.6269,212.4594,27.79553
